epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.744,1.08586,2.3914,1.49158,0.5451,0.57044,0.56286,0.37454,1.02187,1.51619,1.48663,0.000302062,0.000302062,0.000302062
2,198.021,1.04375,1.6673,1.44107,0.55301,0.63057,0.60251,0.35627,1.24244,1.60173,1.60579,0.000597574,0.000597574,0.000597574
3,294.495,1.04347,1.4899,1.42405,0.67135,0.59162,0.62395,0.40957,1.09687,1.40969,1.57656,0.000885587,0.000885587,0.000885587
4,390.879,1.04788,1.39474,1.42672,0.73946,0.59203,0.6602,0.41574,1.12995,1.22307,1.54976,0.000875253,0.000875253,0.000875253
5,485.56,1.00048,1.26597,1.39228,0.7052,0.67478,0.69644,0.47704,1.01887,1.08457,1.45047,0.000864004,0.000864004,0.000864004
6,580.874,0.96837,1.20631,1.37071,0.72772,0.65115,0.70992,0.49323,0.98959,1.10965,1.41968,0.000852756,0.000852756,0.000852756
7,676.624,0.94949,1.15353,1.34845,0.81155,0.69823,0.77279,0.52883,0.94784,0.98641,1.36635,0.000841507,0.000841507,0.000841507
8,771.536,0.93663,1.11709,1.34202,0.686,0.67226,0.7337,0.50844,0.98356,0.95829,1.36847,0.000830258,0.000830258,0.000830258
9,866.253,0.91744,1.06096,1.32539,0.69118,0.7049,0.74096,0.52697,0.91712,0.96456,1.32674,0.000819009,0.000819009,0.000819009
10,962.967,0.90918,1.04652,1.31601,0.69028,0.72476,0.75705,0.53208,0.95106,0.8696,1.34101,0.00080776,0.00080776,0.00080776
11,1058.21,0.88605,0.99484,1.30258,0.74293,0.69352,0.74506,0.5387,0.92657,0.91299,1.29451,0.000796511,0.000796511,0.000796511
12,1153.4,0.88165,0.98197,1.29325,0.76091,0.72755,0.76177,0.54154,0.9077,0.85669,1.30772,0.000785262,0.000785262,0.000785262
13,1250.31,0.87596,0.96781,1.28945,0.74405,0.77577,0.78622,0.57091,0.87079,0.88678,1.27575,0.000774013,0.000774013,0.000774013
14,1345.5,0.85731,0.94438,1.28024,0.79423,0.73229,0.80004,0.5661,0.91211,0.80547,1.28545,0.000762765,0.000762765,0.000762765
15,1439.96,0.84371,0.91626,1.26146,0.7535,0.75685,0.81561,0.59909,0.82266,0.80002,1.20046,0.000751516,0.000751516,0.000751516
16,1534.5,0.83846,0.89794,1.25516,0.74343,0.75211,0.79588,0.60362,0.82148,0.77545,1.19011,0.000740267,0.000740267,0.000740267
17,1629.9,0.81972,0.87282,1.24053,0.76291,0.78285,0.82965,0.59825,0.86941,0.77396,1.19745,0.000729018,0.000729018,0.000729018
18,1724.54,0.81791,0.8635,1.23695,0.76269,0.75899,0.80406,0.5996,0.84806,0.76088,1.21434,0.000717769,0.000717769,0.000717769
19,1818.82,0.82389,0.85924,1.23989,0.795,0.77001,0.824,0.59956,0.86541,0.72751,1.18981,0.00070652,0.00070652,0.00070652
20,1912.6,0.80791,0.83299,1.22576,0.76366,0.79653,0.83615,0.61215,0.86479,0.73318,1.2049,0.000695271,0.000695271,0.000695271
21,2007.38,0.79921,0.8222,1.22152,0.84031,0.75331,0.84279,0.60471,0.86545,0.76695,1.20685,0.000684022,0.000684022,0.000684022
22,2103.28,0.7949,0.82111,1.21503,0.79202,0.80942,0.85117,0.63201,0.80561,0.70539,1.16983,0.000672774,0.000672774,0.000672774
23,2198.2,0.78819,0.80616,1.21335,0.81024,0.76625,0.84448,0.61092,0.84584,0.71207,1.19061,0.000661525,0.000661525,0.000661525
24,2294.17,0.78053,0.77898,1.20795,0.74321,0.80495,0.82623,0.62759,0.80985,0.69779,1.15478,0.000650276,0.000650276,0.000650276
25,2390.96,0.7759,0.7729,1.2002,0.75011,0.83449,0.84595,0.64152,0.79315,0.68076,1.14497,0.000639027,0.000639027,0.000639027
26,2487.4,0.76854,0.76497,1.19756,0.78816,0.7827,0.82439,0.62445,0.78414,0.72462,1.134,0.000627778,0.000627778,0.000627778
27,2581.81,0.7615,0.74641,1.19225,0.78562,0.81514,0.86139,0.63778,0.81158,0.67395,1.15349,0.000616529,0.000616529,0.000616529
28,2676.02,0.76697,0.74601,1.18867,0.82304,0.79557,0.87204,0.65359,0.77459,0.64824,1.1282,0.00060528,0.00060528,0.00060528
29,2771.72,0.75641,0.73994,1.18768,0.82513,0.79674,0.85761,0.64901,0.76774,0.69877,1.13277,0.000594031,0.000594031,0.000594031
30,2866.98,0.75219,0.73479,1.18316,0.77537,0.7947,0.82045,0.61469,0.8038,0.73977,1.15195,0.000582783,0.000582783,0.000582783
31,2961.79,0.73935,0.71285,1.17475,0.81553,0.78855,0.85368,0.65005,0.77163,0.66932,1.12589,0.000571534,0.000571534,0.000571534
32,3057.72,0.74129,0.71162,1.17458,0.78627,0.85561,0.87391,0.65254,0.75215,0.64416,1.10773,0.000560285,0.000560285,0.000560285
33,3154.31,0.73551,0.70556,1.17124,0.78628,0.84316,0.86281,0.66362,0.75346,0.64998,1.11181,0.000549036,0.000549036,0.000549036
34,3249.61,0.73057,0.68564,1.16402,0.80193,0.82726,0.85588,0.6472,0.77794,0.64523,1.14211,0.000537787,0.000537787,0.000537787
35,3344.76,0.72197,0.68151,1.15753,0.79003,0.83789,0.86188,0.6606,0.7414,0.6503,1.09747,0.000526538,0.000526538,0.000526538
36,3436.71,0.72822,0.68265,1.16318,0.79848,0.84023,0.86994,0.66489,0.76333,0.65895,1.11356,0.000515289,0.000515289,0.000515289
37,3529.85,0.71933,0.67459,1.16026,0.84674,0.82268,0.88317,0.67815,0.74539,0.62077,1.11025,0.00050404,0.00050404,0.00050404
38,3622.81,0.71423,0.66672,1.15467,0.82141,0.8325,0.86857,0.66947,0.75573,0.62069,1.11042,0.000492792,0.000492792,0.000492792
39,3713.57,0.70782,0.64792,1.14467,0.87039,0.81537,0.87207,0.67074,0.72606,0.61442,1.0882,0.000481543,0.000481543,0.000481543
40,3804.46,0.70609,0.65173,1.14832,0.85352,0.84836,0.88272,0.6751,0.75007,0.60402,1.11122,0.000470294,0.000470294,0.000470294
